RA,DEC,L,B,RV_ADOP,TEFF_ADOP,LOGG_ADOP,FEH_ADOP
313.17527,75.012432,109.281298574,18.9229046977,-16.1659,6131.35,4.06599,-0.980091
147.16262,50.702845,165.874867051,48.2940280125,-97.3431,6301.13,3.4072,-1.44953
180.5778,47.054181,145.546385269,67.8586286792,42.0681,6053.98,3.84578,-1.27315
354.52082,-10.642943,73.099306836,-66.1306599066,-74.9543,5264.5,2.5275,-2.91133
145.88361,53.915419,161.707788194,46.565161265,-33.7615,5125.75,4.40256,-0.532723
168.70474,-11.454292,268.476662898,44.8568892732,229.444,6604.11,3.80469,-1.99782
158.30288,44.695075,171.251200793,57.3246963586,-71.6346,6479.33,3.62689,-2.209
205.1365,-2.3601472,326.72659937,58.2246659012,-0.938775,5929.54,4.03129,-0.560359
70.718227,11.84903,186.046177545,-21.7010256944,19.598,6113.49,4.09583,-0.273654
313.2467,3.0208817,50.7718887553,-25.1846518974,-253.025,8779.46,3.44547,-0.974958
236.33025,17.270516,28.4256801423,48.7761291466,-77.3001,6145.97,3.83049,-1.29206
356.86014,38.007573,109.268913853,-23.1603466265,-8.92244,7869.24,4.13516,-1.01596
8.7805405,15.842857,117.189901488,-46.8469075312,31.9855,6146.52,3.97271,-0.671946
241.97033,4.435506,16.0481060907,38.0321581337,11.0806,6456.89,3.42168,-1.85502
338.98103,13.315974,79.5195578919,-37.8792808136,-50.978,4714.77,4.4371,-0.00342381
16.039027,0.947392,129.662324234,-61.7580451277,-161.653,5510.67,4.27616,-0.891589
65.421004,6.541577,187.400735377,-29.0492954061,55.1617,6891.79,3.67084,-0.816784
120.82071,66.442463,149.520113567,31.8481975228,197.534,6496.86,3.65743,-2.19547
65.781435,6.130756,188.021534297,-28.9999598197,9.90874,6367.17,3.56613,-0.276382
59.792268,-6.453029,196.843104569,-40.9295491785,47.8229,5350.47,4.43234,-0.474854
33.308312,7.719186,155.456454637,-49.9160361652,-26.5561,5537.59,4.23672,-0.0635385
199.1817,59.09613,116.850701577,57.7325343183,-84.3345,6232.74,4.04193,-0.602594
184.78624,53.854856,133.30797935,62.6180241685,-239.507,6962.46,3.3909,-2.20038
192.58197,30.833531,126.613830315,86.2867803026,32.008,5239.56,3.17942,-0.768044
29.0788,14.2013,145.775289066,-45.7731827642,-97.448,6221.51,3.80012,-1.19435
16.555027,46.255479,125.596590947,-16.5397758067,-66.3171,5708.48,3.92876,-0.68804
344.80252,-9.593919,61.1096552162,-58.256119894,-17.7157,6041.13,3.95595,-0.27753
116.06168,42.44899,176.832439831,27.2414998256,193.832,6348.93,4.22756,-1.70987
291.67578,61.848406,93.2405725799,19.7358887236,-12.9406,6713.1,4.10606,-0.365965
332.52515,-0.248339,60.9031305204,-42.8741819689,34.9962,4121.0,3.56536,-0.213171
21.419658,37.535892,130.405201147,-24.8384860246,-89.646,8260.18,3.17278,-1.42772
35.323856,0.907456,164.19707032,-54.6000810031,-13.1565,5968.0,3.71475,-0.510355
117.41926,18.992374,201.729717978,21.0971775704,67.6057,5283.05,3.50404,-0.609643
65.58314,33.984901,165.178306623,-11.0737477331,-8.54636,7636.42,4.2611,0.333098
168.81898,10.240628,245.041461557,61.7519174371,-6.58859,5832.36,3.5341,-1.40646
157.49914,17.720614,221.528128438,56.115475356,0.58404,5097.9,4.47349,-0.0149865
334.67438,-0.61891679,62.3640657301,-44.7835991138,-29.3321,5397.98,4.29287,-0.199884
219.13446,9.3087467,2.21786951088,59.4608873123,-111.859,6511.99,3.86859,-3.27484
49.343044,-0.28090642,181.579721536,-45.8732918163,-28.4621,5881.51,4.06744,-0.422846
155.95752,37.833412,184.393106401,57.3283408534,49.9571,4563.17,4.42348,-0.480743
